Student ID,Name,Surname,Class,Class Name,Grade,Email,schoolName,schoolTown
,Halime,Marcil,10,A,4.5,marcilhalime@gmail.com,PGKPI,Burgas
,Plinio,Margitta,10,B,6,pliniomargitta@gmail.com,PGKPI,Burgas
,Vibianus,Elisa,10,B,3.21,vibianuselisa123@gmail.com,PGKPI,Burgas
,Mechtilde,Jutta,9,V,4.89,MechtildejuTta@gmai.com,PGKPI,Burgas
,Zhivka ,Pio,8,A,5.98,Zhvika_1341@gmail.com,PGKPI,Burgas
,Harutyun,Edoardo,7,V,4.54,HarutyunEdoardo@gmail.com,PGKPI,Burgas
,Nacho,Yaser,5,V,6,NachoYaser@gmail.com,PGKPI,Burgas
,Nicolo,Efthymia,10,C,6,NicoloEfthymia@gmail.com,PGKPI,Burgas
,Asuman, Rosine,10,A,3.11,AsumanRosine@gmail.com,PGKPI,Burgas
,Winthrop,Trenton,10,V,5.11,WinthropTrenton@gmail.com,PGKPI,Burgas
,Thomas,Monty,6,B,6,ThomasMonty@gmail.com,PGKPI,Burgas
,Malinda,Logan,6,V,3.89,MalindaLogan@gmail.com,PGKPI,Burgas
,Aldous,Cooper,7,C,5.3,AldousCooper@gmail.com,PGKPI,Burgas
,Zlatan,Fenton,9,V,4.54,ZlatanFenton@gmail.com,PGKPI,Burgas
,Brion,Taegan,4,V,4.5,BrionTaegan@gmail.com,PGKPI,Burgas
,Teodulo,Leyla,5,A,6,TeoduloLeyla@gmail.com,PGKPI,Burgas
,Deziree,Windsor,4,A,5.78,DezireeWindosr@gmail.com,PGKPI,Burgas
,Pacey,Val,11,B,4.2,PaceyVal@gmail.com,PGKPI,Burgas
,Darleen,Arlen,12,C,3.54,DarleenArlen@gmail.com,PGKPI,Burgas
